code,system
C350012,readv2
C370800,readv2
J612.11,readv2
J612.12,readv2
J615300,readv2
J615711,readv2
J615812,readv2
J615H00,readv2
J615z11,readv2
J615z12,readv2
J615z13,readv2
J635600,readv2
100253.0,med
100474.0,med
100592.0,med
102922.0,med
108819.0,med
109540.0,med
15424.0,med
1638.0,med
16455.0,med
16725.0,med
17330.0,med
18739.0,med
19512.0,med
21713.0,med
22841.0,med
25383.0,med
26319.0,med
27438.0,med
3450.0,med
40567.0,med
40963.0,med
44120.0,med
44676.0,med
47257.0,med
4743.0,med
48928.0,med
55454.0,med
58184.0,med
58630.0,med
60104.0,med
6015.0,med
68376.0,med
6863.0,med
69204.0,med
71453.0,med
73482.0,med
7602.0,med
7885.0,med
7943.0,med
8206.0,med
8363.0,med
91591.0,med
92909.0,med
9494.0,med
96664.0,med
G852200,readv2
G852300,readv2
J61..00,readv2
J613.00,readv2
J615y00,readv2
Jyu7100,readv2
J615.11,readv2
J615100,readv2
J615400,readv2
J615500,readv2
J615600,readv2
J615700,readv2
J615800,readv2
J615C00,readv2
J615D00,readv2
J615G00,readv2
J61y300,readv2
J616.00,readv2
J616100,readv2
J616200,readv2
J616z00,readv2
J617.00,readv2
J617000,readv2
K71.7,icd10
K74.4,icd10
K74.5,icd10
K74.6,icd10